year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1992,20115,暗黑破坏神,ova,OVA,not_listed,,,1992年8月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,56684,,ova,OVA,not_listed,,,1992年8月28日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,41742,机动战士高达0083 吉翁的残光,movie,Movie,confirmed,1992年8月29日,,,119分钟,119,番组计划平台为 Movie，标题未标为剧场版,no
1992,98936,侦探物语,ova,OVA,not_listed,,,1992年9月1日,51分,51,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,78082,花平火箭炮,ova,OVA,not_listed,,,1992年9月4日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,52772,潮与虎,ova,OVA,not_listed,,,1992年9月11日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315450,,ova,OVA,not_listed,,,1992-09-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315445,凯蒂猫 在伦敦的外星人,ova,OVA,not_listed,,,1992-09-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315448,凯蒂猫 魔法苹果,ova,OVA,not_listed,,,1992-09-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,54256,天地无用! 魉皇鬼,ova,OVA,not_listed,,,1992年9月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,92950,绝对无敌雷神王OVA,ova,OVA,not_listed,,,1992-09-30,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,134983,苹果岛的故事,ova,OVA,confirmed,1992年12月12日,,1992年10月10日,90分,90,番组计划平台为 OVA，同时记录了院线上映日期,no
1992,72711,Dragon Slayer 英雄传说~王子的旅程~,ova,OVA,not_listed,,,1992年10月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,3390,万能文化猫娘,ova,OVA,not_listed,,,1992年10月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,2916,东京巴比伦,ova,OVA,not_listed,,,1992年10月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
